"gender","current_rank","player_id","player_name","country","sheet_base_points","point_rows","active_rows","expired_rows","singles_rows","doubles_rows","counting_singles","counting_doubles","missing_drop_date_rows","bad_ranking_point_rows","status","notes","points_breakdown_url"
"Boys","40","vincent-reisach","Vincent Reisach","GER","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/vincent-reisach/800635903/ger/jt/s/itf-points-breakdown/"
"Boys","41","jakub-kusy","Jakub Kusy","CZE","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/jakub-kusy/800597132/cze/jt/s/itf-points-breakdown/"
"Boys","42","pedro-henrique-chabalgoity","Pedro Henrique Chabalgoity","BRA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/pedro-henrique-chabalgoity/800650301/bra/jt/s/itf-points-breakdown/"
"Boys","43","kirill-filaretov","Kirill Filaretov","RUS","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/kirill-filaretov/800572955/rus/jt/s/itf-points-breakdown/"
"Boys","44","leon-sloboda","Leon Sloboda","SVK","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/leon-sloboda/800661936/svk/jt/s/itf-points-breakdown/"
"Boys","45","gavin-goode","Gavin Goode","USA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/gavin-goode/800754035/usa/jt/s/itf-points-breakdown/"
"Boys","46","jack-secord","Jack Secord","USA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/jack-secord/800720203/usa/jt/s/itf-points-breakdown/"
"Boys","47","tanishk-konduri","Tanishk Konduri","USA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/tanishk-konduri/800793512/usa/jt/s/itf-points-breakdown/"
"Boys","48","juan-miguel-bolivar-idarraga","Juan Miguel Bolivar Idarraga","COL","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/juan-miguel-bolivar-idarraga/800652195/col/jt/s/itf-points-breakdown/"
"Boys","49","rihards-neimanis","Rihards Neimanis","LAT","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/rihards-neimanis/800589275/lat/jt/s/itf-points-breakdown/"
"Boys","50","benjamin-azar","Benjamin Azar","CAN","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/benjamin-azar/800672226/can/jt/s/itf-points-breakdown/"
"Girls","1","ksenia-efremova","Ksenia Efremova","FRA","2818","21","21","0","11","10","6","6","0","0","OK","","https://www.itftennis.com/en/players/ksenia-efremova/800591535/fra/jt/s/itf-points-breakdown/"
"Girls","2","hannah-klugman","Hannah Klugman","GBR","2047.5","9","7","2","4","3","4","3","0","0","Revisar planilha","Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/hannah-klugman/800631038/gbr/jt/s/itf-points-breakdown/"
"Girls","3","mia-pohankova","Mia Pohankova","SVK","2189.25","11","9","2","5","4","5","4","0","0","Revisar planilha","Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/mia-pohankova/800627475/svk/jt/s/itf-points-breakdown/"
"Girls","4","alena-kovackova","Alena Kovackova","CZE","2199.75","18","16","2","9","7","6","6","0","0","OK","","https://www.itftennis.com/en/players/alena-kovackova/800572951/cze/jt/s/itf-points-breakdown/"
"Girls","5","victoria-luiza-barros","Victoria Luiza Barros","BRA","2194","20","18","2","11","7","6","6","0","0","OK","","https://www.itftennis.com/en/players/victoria-luiza-barros/800655335/bra/jt/s/itf-points-breakdown/"
"Girls","6","julieta-pareja","Julieta Pareja","USA","1706.75","9","7","2","4","3","4","3","0","0","Revisar planilha","Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/julieta-pareja/800692835/usa/jt/s/itf-points-breakdown/"
